File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
4-3.D,6.41108098462594,Propanal,123-38-6,790.25063237914,1320202.3516388,C3H6O,86.9444376395146
2-1.D,6.41145765461975,Trimethylene oxide,503-30-0,790.288838078888,1436216.65500023,C3H6O,88.6903746034558
2-2.D,6.41147989816015,Trimethylene oxide,503-30-0,790.291094244867,1474179.42650951,C3H6O,88.359494190047
4-1.D,6.41191385864422,Trimethylene oxide,503-30-0,790.335110928514,1459507.92949148,C3H6O,86.0899456032171
2-3.D,6.41192607648094,Trimethylene oxide,503-30-0,790.336350185712,1506488.74778546,C3H6O,88.7028437908489
5-3.D,6.45572134094173,Furan,110-00-9,794.778511100693,539432.289327199,C4H4O,75.7468894758462
5-1.D,6.4569040184015,Furan,110-00-9,794.898470270971,543882.452257859,C4H4O,91.0591297146982
4-2.D,6.45702197518597,Furan,110-00-9,794.910434647122,963404.552927281,C4H4O,82.0040614264639
6-1.D,6.45724998257907,Furan,110-00-9,794.9335614747,649872.921491008,C4H4O,88.2779024275133
6-3.D,6.4572734706058,Furan,110-00-9,794.935943869134,626541.267732686,C4H4O,88.2910071057021
6-2.D,6.45750903285964,Furan,110-00-9,794.959836987487,685060.122187836,C4H4O,85.5058918687651
4-3.D,6.45961391969548,Furan,110-00-9,795.173336007251,773938.174928567,C4H4O,87.9253166877032
5-2.D,6.46046136554712,Furan,110-00-9,795.259292580091,511132.187129396,C4H4O,81.1030419581893
4-1.D,6.46089711507546,Furan,110-00-9,795.303490726794,871070.177134969,C4H4O,85.0075967485028
4-2.D,6.60118947413122,5-Methyl-2-(2-methyl-2-tetrahydrofuryl)tetrahydrofuran,1000112-56-4,805.073108119567,159511.073608461,C10H18O2,75.0089170852308
6-1.D,6.60251560198443,"Heptane, 2,4-dimethyl-",2213-23-2,805.144686240861,261227.952563061,C9H20,78.2011774651281
2-1.D,6.6062794301421,Silicon tetrafluoride,7783-61-1,805.347839916991,26807.1039925442,F4Si,80.8467528714754
5-3.D,6.71081947106233,"Propanal, 2-methyl-",78-84-2,810.990417826001,2067023.08611688,C4H8O,96.3338299598394
6-2.D,6.71137556500123,"Propanal, 2-methyl-",78-84-2,811.020433151683,3727968.93684332,C4H8O,97.7919735675971
4-2.D,6.71161876915351,"Propanal, 2-methyl-",78-84-2,811.033560163735,3648940.64782503,C4H8O,97.918802320192
6-1.D,6.71173742402424,"Propanal, 2-methyl-",78-84-2,811.039964593525,3381926.54649983,C4H8O,97.8995301837446
6-3.D,6.71187674044339,"Propanal, 2-methyl-",78-84-2,811.047484236163,3422842.93736543,C4H8O,97.9204067725587
5-1.D,6.71211363425687,"Propanal, 2-methyl-",78-84-2,811.060270645915,1956167.13904365,C4H8O,95.6722415998862
4-3.D,6.71379762070269,"Propanal, 2-methyl-",78-84-2,811.151164284703,3743162.26959333,C4H8O,97.9205806743475
3-1.D,6.71462835425925,"Propanal, 2-methyl-",78-84-2,811.19600336046,957906.285288151,C4H8O,96.5691522797237
1-3.D,6.71514322224051,"Propanal, 2-methyl-",78-84-2,811.223793503563,887129.801221461,C4H8O,96.7499904006172
2-1.D,6.7152457394497,"Propanal, 2-methyl-",78-84-2,811.229326898564,851105.429457425,C4H8O,96.6836997195213
5-2.D,6.71537004873351,"Propanal, 2-methyl-",78-84-2,811.23603652688,2031729.68701764,C4H8O,96.0309152535845
3-2.D,6.71548071499475,"Propanal, 2-methyl-",78-84-2,811.242009769242,925148.005828823,C4H8O,96.7536814504232
3-3.D,6.71553627866581,"Propanal, 2-methyl-",78-84-2,811.245008833908,979569.392542757,C4H8O,96.2899392477883
2-2.D,6.71572280241045,"Propanal, 2-methyl-",78-84-2,811.255076505125,856918.908713045,C4H8O,96.7028382788765
4-1.D,6.71594584207057,"Propanal, 2-methyl-",78-84-2,811.26711513308,4107598.86367226,C4H8O,97.9074180568882
1-2.D,6.71598189620467,"Propanal, 2-methyl-",78-84-2,811.269061165038,861672.818594881,C4H8O,96.0112782383471
2-3.D,6.71718014229855,"Propanal, 2-methyl-",78-84-2,811.333736832653,839666.589713378,C4H8O,96.7501453211796
1-1.D,6.7179517368293,"Propanal, 2-methyl-",78-84-2,811.375383862973,835624.056155186,C4H8O,96.1309094210237
6-2.D,6.78377138442353,Acetone,67-64-1,814.928017726752,1839972.97510271,C3H6O,98.5266099531408
6-1.D,6.78421430985869,Acetone,67-64-1,814.951924750833,1749004.22544098,C3H6O,96.8559546949817
4-2.D,6.78507968066957,Acetone,67-64-1,814.998633382068,1745233.79217457,C3H6O,97.860677427839
6-3.D,6.78560734085117,Acetone,67-64-1,815.027113987757,1793039.42907037,C3H6O,96.2827293604228
4-3.D,6.78574624042264,Acetone,67-64-1,815.034611130925,1792406.0326277,C3H6O,95.8619984591307
5-3.D,6.78610013588519,Acetone,67-64-1,815.053712737367,1067499.41860698,C3H6O,96.6390681490523
5-1.D,6.78701021598012,Acetone,67-64-1,815.102834564696,861077.583677807,C3H6O,97.3515522907849
